"EmmissionsCW",,"EmmissionsCWLnChng",,
710.3838,652.9115,710.3838,652.9115,
712.1084,655.6592,712.1084,655.6592,
713.811,658.4079,713.811,658.4079,
715.4987,661.1684,715.4987,661.1684,
717.1767,663.9487,717.1767,663.9487,
718.8346,666.7329,718.8346,666.7329,
720.4805,669.5343,720.4805,669.5343,
722.1069,672.3391,722.1069,672.3391,
723.717,675.1527,723.717,675.1527,
725.3143,677.9808,725.3143,677.9808,
726.8972,680.8203,726.8972,680.8203,
728.4597,683.6598,728.4597,683.6598,
730.0115,686.5161,730.0115,686.5161,
731.5469,689.3776,731.5469,689.3776,
733.0677,692.2471,733.0677,692.2471,
734.8247,695.6079,734.8247,695.6079,
736.5627,698.979,736.5627,698.979,
738.283,702.3633,738.283,702.3633,
739.9848,705.7577,739.9848,705.7577,
741.6645,709.1528,741.6645,709.1528,
743.3324,712.5693,743.3324,712.5693,
744.9777,715.9834,744.9777,715.9834,
746.6076,719.4096,746.6076,719.4096,
748.4495,723.3365,748.4495,723.3365,
750.2709,727.2776,750.2709,727.2776,
752.0714,731.23,752.0714,731.23,
753.8505,735.191,753.8505,735.191,
755.6055,739.1534,755.6055,739.1534,
757.3428,743.1339,757.3428,743.1339,
759.0555,747.1191,759.0555,747.1191,
760.7502,751.1254,760.7502,751.1254,
762.4201,755.1334,762.4201,755.1334,
764.2766,759.6525,764.2766,759.6525,
766.7222,765.6902,766.7222,765.6902,
778.5636,795.4153,778.5636,795.4153,
792.211,830.1889,792.211,830.1889,
806.2667,866.5211,806.2667,866.5211,
820.9086,905.0126,820.9086,905.0126,
826.4413,919.7337,826.4413,919.7337,
830.1772,929.8391,830.1772,929.8391,
833.6148,939.2843,833.6148,939.2843,
836.5034,947.3531,836.5034,947.3531,
838.6356,953.4068,838.6356,953.4068,
840.4465,958.6346,840.4465,958.6346,
841.9554,963.0641,841.9554,963.0641,
843.3044,967.0938,843.3044,967.0938,
844.5006,970.7326,844.5006,970.7326,
845.5488,973.9812,845.5488,973.9812,
846.4581,976.852,846.4581,976.852,
847.3439,979.7015,847.3439,979.7015,
848.2105,982.5394,848.2105,982.5394,
849.1599,985.7089,849.1599,985.7089,
850.0841,988.8577,850.0841,988.8577,
851.0855,992.3417,851.0855,992.3417,
851.9599,995.4464,851.9599,995.4464,
852.8118,998.5294,852.8118,998.5294,
853.6434,1001.599,853.6434,1001.599,
854.4544,1004.66,854.4544,1004.66,
855.1554,1007.363,855.1554,1007.363,
855.8393,1010.058,855.8393,1010.058,
856.5081,1012.751,856.5081,1012.751,
857.1565,1015.421,857.1565,1015.421,
857.7923,1018.102,857.7923,1018.102,
858.4087,1020.762,858.4087,1020.762,
859.0127,1023.432,859.0127,1023.432,
859.6701,1026.414,859.6701,1026.414,
860.311,1029.397,860.311,1029.397,
860.9328,1032.368,860.9328,1032.368,
861.5377,1035.338,861.5377,1035.338,
862.1245,1038.298,862.1245,1038.298,
862.6935,1041.248,862.6935,1041.248,
863.246,1044.196,863.246,1044.196,
863.7812,1047.134,863.7812,1047.134,
864.2987,1050.061,864.2987,1050.061,
864.8005,1052.987,864.8005,1052.987,
865.3381,1056.225,865.3381,1056.225,
865.856,1059.451,865.856,1059.451,
866.4043,1062.991,866.4043,1062.991,
866.9312,1066.518,866.9312,1066.518,
867.4377,1070.034,867.4377,1070.034,
867.9243,1073.539,867.9243,1073.539,
868.3933,1077.044,868.3933,1077.044,
